ID,Title,Watched,Year,Genre,Runtime,Tier,Medium
289,The Favourite,2019-02-01,2018.0,Comedy,121.0,S,Cinema
290,American Animals,2019-02-09,2018.0,Crime,120.0,S,Home
291,IP Man,2019-02-16,2008.0,Action,108.0,A,Home
292,Vox Lux,2019-02-22,2018.0,Drama,114.0,A,Home
293,Spider-Man Into the Spiderverse,2019-02-23,2018.0,Adventure,116.0,S,Home
294,Captain Marvel,2019-03-10,2019.0,Adventure,125.0,B,Cinema
295,Us,2019-03-29,2019.0,Thriller,121.0,A,Cinema
296,Mission Impossible: Fallout,2019-03-30,2018.0,Action,148.0,A,Home
297,The Dark Knight,2019-03-30,2008.0,Crime,152.0,S,Home
298,Upgrade,2019-04-13,2018.0,Action,101.0,A,Home
299,Harry Potter and the Order of the Phoenix,2019-04-19,2007.0,Fantasy,142.0,A,Home
300,Ratatouille,2019-04-20,2007.0,Comedy,111.0,A,Home
301,Interstellar,2019-04-21,2014.0,Science Fiction,169.0,S,Home
302,Avengers: Endgame,2019-04-27,2019.0,Action,182.0,B,Cinema
303,Avengers: Endgame,2019-05-07,2019.0,Action,182.0,B,Cinema
304,Booksmart,2019-05-12,2019.0,Comedy,105.0,A,Home
305,Godzilla King of the Monsters,2019-06-04,2019.0,Action,132.0,A,Cinema
306,Unicorn Store,2019-06-14,2017.0,Comedy,92.0,B,Home
307,The Ring,2019-06-23,2002.0,Horror,145.0,B,Home
308,Toy Story 4,2019-06-25,2019.0,Adventure,100.0,A,Cinema
309,Men In Black: International,2019-06-28,2019.0,Adventure,115.0,B,Cinema
310,The Edge of Seventeen,2019-06-29,2016.0,Comedy,104.0,A,Home
311,The Predator,2019-06-30,2018.0,Horror,118.0,C,Cinema
313,Unicorn Store,2019-07-03,2017.0,Comedy,92.0,B,Home
314,Avengers: Infinity War,2019-07-09,2018.0,Adventure,160.0,A,Home
315,Avengers: Infinity War,2019-07-11,2018.0,Adventure,160.0,A,Home
316,Avengers: Infinity War,2019-07-13,2018.0,Adventure,160.0,A,Home
317,Spider-Man: Far From Home,2019-07-16,2019.0,Adventure,129.0,B,Cinema
318,Shazam!,2019-07-20,2019.0,Adventure,132.0,B,Cinema
319,Midsommar,2019-07-26,2019.0,Horror,138.0,A,Cinema
320,The Night Comes for Us,2019-07-30,2018.0,Action,121.0,A,Home
321,Avengers: Endgame,2019-08-09,2019.0,Adventure,182.0,B,Home
322,Booksmart,2019-08-15,2019.0,Comedy,105.0,A,Home
323,Mad Max Fury Road,2019-08-16,2015.0,Action,120.0,S,Home
324,Long Shot,2019-08-17,2019.0,Comedy,124.0,A,Home
325,Hot Fuzz,2019-08-24,2007.0,Comedy,121.0,A,Home
326,The Lego Movie,2019-09-11,2014.0,Comedy,101.0,S,Home
327,You're Next,2019-09-13,2011.0,Horror,95.0,A,Home
328,Before Sunrise,2019-09-18,1995.0,Drama,105.0,S,Home
329,Star Wars: The Phantom Menace,2019-09-20,1999.0,Fantasy,136.0,C,Home
330,The Princess Bride,2019-09-28,1987.0,Fantasy,98.0,S,Home
331,Ad Astra,2019-10-01,2019.0,Science Fiction,124.0,B,Cinema
332,The Princess Bride,2019-10-05,1987.0,Fantasy,98.0,S,Home
333,Joker,2019-10-08,2019.0,Crime,122.0,B,Cinema
334,Star Wars Attack of the Clones,2019-10-15,2002.0,Fantasy,142.0,C,Home
335,Star Wars: Revenge of the Sith,2019-10-19,2005.0,Fantasy,140.0,B,Home
336,Parasite,2019-10-25,2019.0,Drama,132.0,S,Home
337,Star Wars,2019-10-25,1977.0,Fantasy,125.0,S,Home
338,Star Wars: The Empire Strikes Back,2019-11-08,1980.0,Fantasy,127.0,S,Home
339,Star Wars Return of the Jedi,2019-11-15,1983.0,Fantasy,136.0,A,Home
340,The Imitation Game,2019-11-16,2014.0,Drama,114.0,A,Home
341,Parasite,2019-11-18,2019.0,Drama,132.0,S,Home
342,The Farewell,2019-11-24,2019.0,Drama,100.0,S,Home
343,Ford v Ferrari,2019-11-26,2019.0,Drama,152.0,B,Cinema
344,Ready or Not,2019-11-29,2019.0,Horror,94.0,A,Home
345,Charlie's Angels,2019-12-01,2019.0,Adventure,118.0,B,Cinema
346,Ordinary Days,2019-12-04,2017.0,Drama,82.0,B,Home
347,Dunkirk,2019-12-04,2017.0,War,107.0,A,Home
348,Three Identical Strangers,2019-12-08,2018.0,Documentary,97.0,B,Home
349,1917,2020-01-21,2019.0,War,119.0,A,Cinema
350,Bad Boys for Life,2020-01-24,2020.0,Action,124.0,C,Cinema
351,The Dark Knight,2020-01-25,2008.0,Crime,152.0,S,Home
352,Jojo Rabbit,2020-01-31,2019.0,Comedy,108.0,S,Home
353,The Peanut Butter Falcon,2020-01-31,2019.0,Drama,97.0,A,Home
355,1917,2020-02-01,2019.0,War,119.0,S,Cinema
361,Monty Python and the Holy Grail,2020-02-08,1975.0,Comedy,92.0,A,Home
362,The Nice Guys,2020-02-08,2016.0,Comedy,116.0,A,Home
363,Sorry to Bother You,2020-02-08,2018.0,Comedy,112.0,B,Home
370,Lady Bird,2020-02-21,2017.0,Comedy,95.0,S,Home
371,Birds of Prey,2020-02-21,2020.0,Comedy,109.0,A,Cinema
373,The Wolf of Wall Street,2020-02-22,2013.0,Comedy,180.0,A,Home
374,Knives Out,2020-02-28,2019.0,Crime,130.0,A,Home
377,Train to Busan,2020-02-28,2016.0,Science Fiction,121.0,A,Home
378,The Big Short,2020-02-29,2015.0,Comedy,130.0,A,Home
379,Hereditary,2020-03-13,2018.0,Horror,127.0,S,Home
392,Parasite,2020-03-28,2019.0,Drama,132.0,A,Home
400,Jojo Rabbit,2020-04-04,2019.0,Comedy,108.0,A,Home
402,Joker,2020-04-11,2019.0,Drama,122.0,C,Home
406,20th Century Women,2020-04-14,2016.0,Drama,119.0,A,Home
408,Aladdin,2020-04-18,2019.0,Musical,128.0,A,Home
416,The Dark Knight Rises,2020-04-25,2012.0,Thriller,164.0,B,Home
418,Mad Max Fury Road,2020-04-26,2015.0,Action,120.0,A,Home
419,Call Me by Your Name,2020-04-27,2017.0,Drama,132.0,S,Home
420,Before Sunrise,2020-04-30,1995.0,Drama,105.0,A,Home
422,Her,2020-05-01,2013.0,Drama,126.0,A,Home
423,Little Women,2020-05-02,2019.0,Drama,135.0,A,Home
425,Fyre,2020-05-03,2019.0,Documentary,97.0,A,Home
426,Raw,2020-05-03,2016.0,Horror,109.0,A,Home
432,The Shape of Water,2020-05-09,2017.0,Drama,123.0,A,Home
435,Horse Girl,2020-05-13,2020.0,Drama,104.0,A,Home
438,The Breadwinner,2020-05-14,2017.0,Drama,94.0,A,Home
442,Cinema Paradiso,2020-05-16,1988.0,Drama,124.0,A,Home
444,The Informant!,2020-05-16,2009.0,Comedy,108.0,S,Home
449,The Lobster,2020-05-27,2015.0,Comedy,119.0,S,Home
453,The Grand Budapest Hotel,2020-06-13,2014.0,Comedy,100.0,A,Home
456,The Farewell,2020-06-20,2019.0,Comedy,100.0,S,Home
459,The Green Mile,2020-07-04,1999.0,Drama,189.0,A,Home
460,Palm Springs,2020-07-10,2020.0,Comedy,90.0,A,Home
462,Memento,2020-07-11,2000.0,Thriller,114.0,A,Home
466,Searching,2020-07-18,2018.0,Thriller,102.0,A,Home
